,0
0,in the spring of 2018 facebook coo sheryl sandberg told the world that we “would be a lot better off if half of all countries and companies were run by women and half of all homes were run by men” and that “we shouldn’t be satisfied until we reach that goal” a leading exponent of corporate feminism sandberg had already made a name and a buck for herself by urging women managers to “lean in” at the company boardroom
1,as former chief of staff to us treasury secretary larry summersthe man who deregulated wall streetshe had no qualms about counseling women that success won through toughness in the business world was the royal road to gender equality
2,that same spring a militant feminist strike shut down spain
3,joined by more than 5 million marchers organizers of the twentyfourhour huelga feminista called for “a society free of sexist oppression exploitation and violence  for rebellion and a struggle against the alliance of the patriarchy and capitalism that wants us to be obedient submissive and quiet” as the sun set over madrid and barcelona the feminist strikers announced to the world “on march 8 we cross our arms interrupting all productive and reproductive activity” declaring they would not “accept worse working conditions nor being paid less than men for the same work” these two voices represent opposing paths for the feminist movement
4,on the one hand sandberg and her ilk see feminism as a handmaiden of capitalism
5,they want a world where the task of managing exploitation in the workplace and oppression in the social whole is shared equally by rulingclass men and women
6,this is a remarkable vision of equal opportunity domination one that asks ordinary people in the name of feminism to be grateful that it is a woman not a man who busts their union orders a drone to kill their parent or locks their child in a cage at the border
7,in sharp contrast to sandberg’s liberal feminism the organizers of the huelga feminista insist on ending capitalism the system that generates the boss produces national borders and manufactures the drones that guard them
8,faced with these two visions of feminism we find ourselves at a fork in the road and our choice bears extraordinary consequences for humankind
9,one path leads to a scorched planet where human life is immiserated to the point of unrecognizability if indeed it remains possible at all
10,the other points to the sort of world that has always figured centrally in humanity’s most exalted dreams a just world whose wealth and natural resources are shared by all and where equality and freedom are premises not aspirations
11,the contrast could not be starker
12,but what makes the choice pressing for us now is the absence of any viable middle way
13,we owe the dearth of alternatives to neoliberalism that exceptionally predatory financialized form of capitalism that has held sway across the globe for the last forty years
14,having poisoned the atmosphere mocked every pretense of democratic rule stretched our social capacities to their breaking point and worsened living conditions generally for the vast majority this iteration of capitalism has raised the stakes for every social struggle transforming sober efforts to win modest reforms into pitched battles for survival
15,under such conditions the time for fencesitting is past and feminists must take a stand will we continue to pursue “equal opportunity domination” while the planet burns
16,or will we reimagine gender justice in an anticapitalist formone that leads beyond the present crisis to a new society
17,this manifesto is a brief for the second path a course we deem both necessary and feasible
18,an anticapitalist feminism has become thinkable today in part because the credibility of political elites is collapsing worldwide
19,the casualties include not only the centerleft and centerright parties that promoted neoliberalismnow despised remnants of their former selvesbut also their sandbergstyle corporate feminist allies whose “progressive” veneer has lost its shine
20,liberal feminism met its waterloo in the us presidential election of 2016 when the muchballyhooed candidacy of hillary clinton failed to excite women voters
21,and for good reason clinton personified the deepening disconnect between elite women’s ascension to high office and improvements in the lives of the vast majority
22,clinton’s defeat is our wakeup call
23,exposing the bankruptcy of liberal feminism it has created an opening for a challenge to it from the left
24,in the vacuum produced by liberalism’s decline we have a chance to build another feminism a feminism with a different definition of what counts as a feminist issue a different class orientation and a different ethosone that is radical and transformative
25,this manifesto is our effort to promote that “other” feminism
26,we write not to sketch an imagined utopia but to mark out the road that must be traveled to reach a just society
27,we aim to explain why feminists should choose the road of feminist strikes why we must unite with other anticapitalist and antisystemic movements and why our movement must become a feminism for the 99 percent
28,only in this wayby connecting with antiracists environmentalists and labor and migrant rights activistscan feminism rise to the challenge of our times
29,by decisively rejecting “lean in” dogma and the feminism of the 1 percent our feminism can become a beacon of hope for everyone else
30,what gives us the courage to embark on this project now is the new wave of militant feminist activism
