,0
0,spring
1,2018
2,facebook
3,coo
4,sheryl
5,sandberg
6,told
7,world
8,“would
9,lot
10,better
11,half
12,countries
13,companies
14,run
15,women
16,half
17,homes
18,run
19,men”
20,“we
21,shouldn’t
22,satisfied
23,reach
24,goal”
25,leading
26,exponent
27,corporate
28,feminism
29,sandberg
30,already
31,made
32,name
33,buck
34,urging
35,women
36,managers
37,“lean
38,in”
39,company
40,boardroom
41,former
42,chief
43,staff
44,us
45,treasury
46,secretary
47,larry
48,summersthe
49,man
50,deregulated
51,wall
52,streetshe
53,qualms
54,counseling
55,women
56,success
57,toughness
58,business
59,world
60,royal
61,road
62,gender
63,equality
64,spring
65,militant
66,feminist
67,strike
68,shut
69,spain
70,joined
71,5
72,million
73,marchers
74,organizers
75,twentyfourhour
76,huelga
77,feminista
78,called
79,“a
80,society
81,free
82,sexist
83,oppression
84,exploitation
85,violence
86,
87,rebellion
88,struggle
89,alliance
90,patriarchy
91,capitalism
92,wants
93,us
94,obedient
95,submissive
96,quiet”
97,sun
98,set
99,madrid
100,barcelona
101,feminist
102,strikers
103,announced
104,world
105,“on
106,march
107,8
108,cross
109,arms
110,interrupting
111,productive
112,reproductive
113,activity”
114,declaring
115,would
116,“accept
117,worse
118,working
119,conditions
120,paid
121,less
122,men
123,work”
124,two
125,voices
126,represent
127,opposing
128,paths
129,feminist
130,movement
131,one
132,hand
133,sandberg
134,ilk
135,see
136,feminism
137,handmaiden
138,capitalism
139,want
140,world
141,task
142,managing
143,exploitation
144,workplace
145,oppression
146,social
147,whole
148,shared
149,equally
150,rulingclass
151,men
152,women
153,remarkable
154,vision
155,equal
156,opportunity
157,domination
158,one
159,asks
160,ordinary
161,people
162,name
163,feminism
164,grateful
165,woman
166,man
167,busts
168,union
169,orders
170,drone
171,kill
172,parent
173,locks
174,child
175,cage
176,border
177,sharp
178,contrast
179,sandberg’s
180,liberal
181,feminism
182,organizers
183,huelga
184,feminista
185,insist
186,ending
187,capitalism
188,system
189,generates
190,boss
191,produces
192,national
193,borders
194,manufactures
195,drones
196,guard
197,faced
198,two
199,visions
200,feminism
201,find
202,fork
203,road
204,choice
205,bears
206,extraordinary
207,consequences
208,humankind
209,one
210,path
211,leads
212,scorched
213,planet
214,human
215,life
216,immiserated
217,point
218,unrecognizability
219,indeed
220,remains
221,possible
222,points
223,sort
224,world
225,always
226,figured
227,centrally
228,humanity’s
229,exalted
230,dreams
231,world
232,whose
233,wealth
234,natural
235,resources
236,shared
237,equality
238,freedom
239,premises
240,aspirations
241,contrast
242,could
243,starker
244,makes
245,choice
246,pressing
247,us
248,absence
249,viable
250,middle
251,way
252,owe
253,dearth
254,alternatives
255,neoliberalism
256,exceptionally
257,predatory
258,financialized
259,form
260,capitalism
261,held
262,sway
263,across
264,globe
265,last
266,forty
267,years
268,poisoned
269,atmosphere
270,mocked
271,every
272,pretense
273,democratic
274,rule
275,stretched
276,social
277,capacities
278,breaking
279,point
280,worsened
281,living
282,conditions
283,generally
284,vast
285,majority
286,iteration
287,capitalism
288,raised
289,stakes
290,every
291,social
292,struggle
293,transforming
294,sober
295,efforts
296,win
297,modest
298,reforms
299,pitched
300,battles
301,survival
302,conditions
303,time
304,fencesitting
305,past
306,feminists
307,must
308,take
309,stand
310,continue
311,pursue
312,“equal
313,opportunity
314,domination”
315,planet
316,burns
317,reimagine
318,gender
319,justice
320,anticapitalist
321,formone
322,leads
323,beyond
324,present
325,crisis
326,new
327,society
328,manifesto
329,brief
330,second
331,path
332,course
333,deem
334,necessary
335,feasible
336,anticapitalist
337,feminism
338,become
339,thinkable
340,today
341,part
342,credibility
343,political
344,elites
345,collapsing
346,worldwide
347,casualties
348,include
349,centerleft
350,centerright
351,parties
352,promoted
353,neoliberalismnow
354,despised
355,remnants
356,former
357,selvesbut
358,also
359,sandbergstyle
360,corporate
361,feminist
362,allies
363,whose
364,“progressive”
365,veneer
366,lost
367,shine
368,liberal
369,feminism
370,met
371,waterloo
372,us
373,presidential
374,election
375,2016
376,muchballyhooed
377,candidacy
378,hillary
379,clinton
380,failed
381,excite
382,women
383,voters
384,good
385,reason
386,clinton
387,personified
388,deepening
389,disconnect
390,elite
391,women’s
392,ascension
393,high
394,office
395,improvements
396,lives
397,vast
398,majority
399,clinton’s
400,defeat
401,wakeup
402,call
403,exposing
404,bankruptcy
405,liberal
406,feminism
407,created
408,opening
409,challenge
410,left
411,vacuum
412,produced
413,liberalism’s
414,decline
415,chance
416,build
417,another
418,feminism
419,feminism
420,different
421,definition
422,counts
423,feminist
424,issue
425,different
426,class
427,orientation
428,different
429,ethosone
430,radical
431,transformative
432,manifesto
433,effort
434,promote
435,“other”
436,feminism
437,write
438,sketch
439,imagined
440,utopia
441,mark
442,road
443,must
444,traveled
445,reach
446,society
447,aim
448,explain
449,feminists
450,choose
451,road
452,feminist
453,strikes
454,must
455,unite
456,anticapitalist
457,antisystemic
458,movements
459,movement
460,must
461,become
462,feminism
463,99
464,percent
465,wayby
466,connecting
467,antiracists
468,environmentalists
469,labor
470,migrant
471,rights
472,activistscan
473,feminism
474,rise
475,challenge
476,times
477,decisively
478,rejecting
479,“lean
480,in”
481,dogma
482,feminism
483,1
484,percent
485,feminism
486,become
487,beacon
488,hope
489,everyone
490,else
491,gives
492,us
493,courage
494,embark
495,project
496,new
497,wave
498,militant
499,feminist
500,activism
501,corporate
502,feminism
503,proved
504,disastrous
505,working
506,women
507,hemorrhaging
508,credibility
509,“microcredit
510,feminism”
511,claims
512,“empower”
513,women
514,global
515,south
516,lending
517,tiny
518,sums
519,money
520,rather
521,give
522,us
523,hope
524,international
525,feminist
526,women’s
527,strikes
528,2017
529,2018
530,strikes
531,increasingly
532,coordinated
533,movements
534,developing
535,around
536,first
537,inspiredand
538,embodya
539,feminism
540,99
541,percent
542,recent
543,feminist
544,strike
545,movement
546,began
547,poland
548,october
549,2016
550,100000
551,women
552,staged
553,walkouts
554,marches
555,oppose
556,country’s
557,ban
558,abortion
559,end
560,month
561,upwelling
562,radical
563,refusal
564,already
565,crossed
566,ocean
567,argentina
568,striking
569,women
570,met
571,heinous
572,murder
573,lucía
574,pérez
575,militant
576,cry
577,“ni
578,una
579,menos”
580,soon
581,spread
582,italy
583,spain
584,brazil
585,turkey
586,peru
587,united
588,states
589,mexico
590,chile
591,dozens
592,countries
593,origins
594,streets
595,movement
596,surged
597,workplaces
598,schools
599,eventually
600,engulfing
601,highflying
602,worlds
603,show
604,business
605,media
606,politics
607,last
608,two
609,years
610,slogans
611,resonated
612,powerfully
613,across
614,globe
615,nosotrasparamos
616,westrike
617,vivasnosqueremos
618,niunamenos
619,timesup
620,feminism4the99
621,first
622,ripple
623,wave
624,become
625,massive
626,tide
627,new
628,global
629,feminist
630,movement
631,may
632,gain
633,sufficient
634,force
635,disrupt
636,existing
637,alliances
638,redraw
639,political
640,map
641,series
642,nationally
643,based
644,actions
645,became
646,transnational
647,movement
648,march
649,8
650,2017
651,organizers
652,around
653,globe
654,decided
655,strike
656,together
657,bold
658,stroke
659,repoliticized
660,international
661,women’s
662,day
663,brushing
664,aside
665,tacky
666,baubles
667,depoliticizationbrunches
668,mimosas
669,hallmark
670,cardsthe
671,strikers
672,revived
673,day’s
674,allbutforgotten
675,historical
676,roots
677,workingclass
678,socialist
679,feminism
680,actions
681,evoke
682,spirit
683,early
684,twentieth
685,century
686,working
687,class
688,women’s
689,mobilizationparadigmatically
690,strikes
691,mass
692,demonstrations
693,led
694,mostly
695,immigrant
696,jewish
697,women
698,united
699,states
700,inspired
701,us
702,socialists
703,organize
704,first
705,national
706,women’s
707,day
708,german
709,socialists
710,luise
711,zietz
712,clara
713,zetkin
714,call
715,international
716,working
717,women’s
718,day
719,reanimating
720,militant
721,spirit
722,feminist
723,strikes
724,today
725,reclaiming
726,roots
727,historic
728,struggles
729,workers’
730,rights
731,social
732,justice
733,uniting
734,women
735,separated
736,oceans
737,mountains
738,continents
739,well
740,borders
741,barbed
742,wire
743,fences
744,walls
745,give
746,new
747,meaning
748,slogan
749,“solidarity
750,weapon”
751,breaking
752,isolation
753,domestic
754,symbolic
755,walls
756,strikes
757,demonstrate
758,enormous
759,political
760,potential
761,women’s
762,power
763,power
764,whose
765,paid
766,unpaid
767,work
768,sustains
769,world
770,burgeoning
771,movement
772,invented
773,new
774,ways
775,strike
776,infused
777,strike
778,form
779,new
780,kind
781,politics
782,coupling
783,withdrawal
784,labor
785,marches
786,demonstrations
787,small
788,business
789,closures
790,blockades
791,boycotts
792,movement
793,replenishing
794,repertoire
795,strike
796,actions
797,large
798,dramatically
799,shrunk
800,decadeslong
801,neoliberal
802,offensive
803,time
804,new
805,wave
806,democratizing
807,strikes
808,expanding
809,scopeabove
810,broadening
811,idea
812,counts
813,“labor”
814,refusing
815,limit
816,category
817,waged
818,work
819,women’s
820,strike
821,activism
822,also
823,withdrawing
824,housework
825,sex
826,smiles
827,making
828,visible
829,indispensable
830,role
831,played
832,gendered
833,unpaid
834,work
835,capitalist
836,society
837,draws
838,attention
839,activities
840,capital
841,benefits
842,pay
843,respect
844,paid
845,work
846,strikers
847,take
848,expansive
849,view
850,counts
851,labor
852,issue
853,far
854,focusing
855,wages
856,hours
857,also
858,targeting
