,0
0,copyright © 2017 naomi klein published in 2017 in the united states by haymarket books and simultaneously in canada by alfred a knopf a division of penguin random house canada limited and in great britain by allen lane a division of the random house group limited
1,haymarket books po
2,box 180165 chicago il 60618 wwwhaymarketbooksorg all rights reserved under international and panamerican copyright conventions
3,no part of this book may be reproduced in any form or by any electronic or mechanical means including information storage and retrieval systems without permission in writing from the publisher except by a reviewer who may quote brief passages in a review
4,issued in print and electronic formats
5,isbn 9781608468904 ebook isbn 9781608468911 this book was published with the generous support of lannan foundation and the wallace action fund
6,distributed in the united states by consortium book sales and distribution wwwcbsdcom
7,book design by cs richardson library of congress cataloginginpublication data is available
8,for my mother bonnie sherr klein who teaches me more about shock resilience every day 
9,i’m not looking to overthrow the american government the corporate state already has 
10,john trudell santee dakota activist artist and poet 1946–2015 contents cover title page copyright dedication epigraph introduction part i  how we got here rise of the superbrands 1 how trump won by becoming the ultimate brand 2 the first family of brands 3 the maralago hunger games part ii  where we are now climate of inequality 4 the climate clock strikes midnight 5 the grabberinchief 6 politics hates a vacuum 7 learn to love economic populism part iii  how it could get worse the shocks to come 8 masters of disaster doing an end run around democracy 9 the toxic todo list what to expect when you are expecting a crisis part iv  how things could get better 10 when the shock doctrine backfires 11 when no was not enough 12 lessons from standing rock daring to dream 13 a time to leap because small steps won’t cut it conclusion the caring majority within reach postscript the leap manifesto notes acknowledgments about the author introduction shock 
11,it’s a word that has come up again and again since donald trump was elected in november 2016to describe the polldefying election results to describe the emotional state of many people watching his ascent to power and to describe his blitzkrieg approach to policy making
12,a “shock to the system” in fact is precisely how his adviser kellyanne conway has repeatedly described the new era
13,for almost two decades now i’ve been studying largescale shocks to societieshow they happen how they are exploited by politicians and corporations and how they are even deliberately deepened in order to gain advantage over a disoriented population
14,i have also reported on the flip side of this process how societies that come together around an understanding of a shared crisis can change the world for the better
15,watching donald trump’s rise i’ve had a strange feeling
16,it’s not just that he’s applying shock politics to the most powerful and heavily armed nation on earth
17,it’s more than that
18,in books documentary films and investigative reporting i have documented a range of trends the rise of superbrands the expanding power of private wealth over the political system the global imposition of neoliberalism often using racism and fear of the “other” as a potent tool the damaging impacts of corporate free trade and the deep hold that climate change denial has taken on the right side of the political spectrum
19,and as i began to research trump he started to seem to me like frankenstein’s monster sewn together out of the body parts of all of these and many other dangerous trends
20,ten years ago i published the shock doctrine the rise of disaster capitalism  an investigation that spanned four decades of history from chile after augusto pinochet’s coup to russia after the collapse of the soviet union from baghdad under the us “shock and awe” attack to new orleans after hurricane katrina
21,the term “shock doctrine” describes the quite brutal tactic of systematically using the public’s disorientation following a collective shockwars coups terrorist attacks market crashes or natural disastersto push through radical procorporate measures often called “shock therapy” though trump breaks the mold in some ways his shock tactics do follow a script one familiar from other countries that have had rapid changes imposed under the cover of crisis
22,during trump’s first week in office when he was signing that tsunami of executive orders and people were just reeling madly trying to keep up i found myself thinking about the human rights advocate halina bortnowska’s description of poland’s experience when the us imposed economic shock therapy on her country in the midst of communism’s collapse
23,she described the velocity of change her country was going through as “the difference between dog years and human years” and she observed that “you start witnessing these semipsychotic reactions
24,you can no longer expect people to act in their own best interests when they’re so disoriented they don’t knowor no longer carewhat those interests are” from the evidence so far it’s clear that trump and his top advisers are hoping for the sort of response bortnowska described that they are trying to pull off a domestic shock doctrine
25,the goal is allout war on the public sphere and the public interest whether in the form of antipollution regulations or programs for the hungry
26,in their place will be unfettered power and freedom for corporations
27,it’s a program so defiantly unjust and so manifestly corrupt that it can only be pulled off with the assistance of divideandconquer racial and sexual politics as well as a nonstop spectacle of media distractions
28,and of course it is being backed up with a massive increase in war spending a dramatic escalation of military conflicts on multiple fronts from syria to north korea alongside presidential musings about how “torture works” trump’s cabinet of billionaires and multimillionaires tells us a great deal about the administration’s underlying goals
29,exxonmobil for secretary of state
30,general dynamics and boeing to head the department of defense
31,and the goldman sachs guys for pretty much everything that’s left
32,the handful of career politicians who have been put in charge of agencies seem to have been selected either because they do not believe in the agency’s core mission or do not think the agency should exist at all
33,steve bannon trump’s apparently sidelined chief strategist was very open about this when he addressed a conservative audience in february 2017 the goal he said was the “deconstruction of the administrative state” by which he meant the government regulations and agencies tasked with protecting people and their rights
34,and “if you look at these cabinet nominees they were selected for a reason and that is deconstruction” much has been made of the conflict between bannon’s christian nationalism and the transnationalism of trump’s more establishment aides particularly his soninlaw jared kushner
35,and bannon may well get voted off this gory reality show entirely before long perhaps by the time you read these words
36,which is why it’s worth underlining that when it comes to deconstructing the state and outsourcing as much as possible to forprofit corporations bannon and kushner are not in conflict but in perfect alignment
37,as this has been unfolding it struck me that what’s happening in washington is not the usual passing of the baton between parties
38,it’s a naked corporate takeover one many decades in the making
39,it seems that the economic interests that have long since paid off both major parties to do their bidding have decided they’re tired of playing the game
40,apparently all that wining and dining of elected officials all that cajoling and legalized bribery insulted their sense of divine entitlement
41,so now they’re cutting out the middlementhose needy politicians who are supposed to protect the public interestand doing what all top dogs do when they want something done right they are doing it themselves
42,which is why serious questions about conflicts of interest and breaches of ethics barely receive a response
43,just as trump stonewalled on releasing his tax returns so he has completely refused to sell or to stop benefiting from his business empire
44,that decision given the trump organization’s reliance on foreign governments to grant valuable trademark licenses and permits may in fact contravene the united states constitution’s prohibition on presidents receiving gifts or any “emolument” from foreign governments
45,indeed a lawsuit making this allegation has already been launched
46,but the trumps seem unconcerned
47,a nearimpenetrable sense of impunityof being above the usual rules and lawsis a defining feature of this administration
48,anyone who presents a threat to that impunity is summarily firedjust ask former fbi director james comey
49,up to now in us politics there’s been a mask on the corporate state’s white house proxies the smiling actor’s face of ronald reagan or the faux cowboy persona of george w bush with dick cheneyhalliburton scowling in the background
50,now the mask is gone
51,and no one is even bothering to pretend otherwise
52,this situation is made all the more squalid by the fact that trump was never the head of a traditional company but has rather long been the figurehead of an empire built around his personal branda brand that has along with his daughter ivanka’s brand already benefited from its merger with the us presidency in countless ways
53,the trump family’s business model is part of a broader shift in corporate structure that has taken place within many brandbased multinationals one with transformative impacts on culture and the job market trends that i wrote about in my first book no logo taking aim at the brand bullies 
54,what this model tells us is that the very idea that there could beor should beany distinction between the trump brand and the trump presidency is a concept the current occupant of the white house cannot begin to comprehend
55,the presidency is in fact the crowning extension of the trump brand
56, as i explored trump’s inextricable relationship with his commercial brand and its implications for the future of politics i began to see why so many of the attacks on him have failed to stickand how we can identify ways of resisting him that will be more effective
57,the fact that such defiant levels of profiteering from public office can unfold in full view is disturbing enough
58,as are so many of trump’s actions in his first months in office
59,but history shows us that however destabilized things are now the shock doctrine means they could get a lot worse
