,0
0,bronze age mindset an exhortation by bronze age pervert this book dedicated to the memory of dean dejana a spiritual brother a sardinian giant of high vision man of superhuman physical strength
1,you were too strong for this world friend
2,be reborn in a better timewe meet again we fight together
3,cover illustration by owen cyclops westernidentity victory to the gods
4,prologue this is not book of philosophy
5,it is exhortation
6,i hardly have anything to say to most who aren’t like me still less do i care about convincing
7,this is account of my reveries
8,i tried to put as brief and simple as i could the thought that motivates me and the problem faced by life in ascent and decline
9,i was convinced to write this book by certain frogs who told me “is it not a shame that hucksters are multiplying lies and jizzing their filthy doctrines into receptive minds everywhere
10,perversions lame onesare born by the thousands and haunt like myriad cripplette midgets in halls of mirrors they haunt the world books the internet
11,minds are lost
12,if you wait any longer everything will be pounded to garbage there will be nothing leftit will all turn the whole world will turn to a bulgarian rest stop lavatory
13,but have you seen the movie midnight express andand how did it make you feel” i was roused from my slumber by my frog friends and i declare to you with great boldness that i am here to save you from a great ugliness
14,if you look around eyes of some people you see a kind of demented energy
15,it’s pure anger or lust for power with nothing more
16,i hate to dirty these pages with mention of names of nobodies in our time
17,but if you see photo of hillary clintong or adam schiff with his eyes bugged out on stims and antidepressants or who knows what you know what i mean
18,there is a crease around the eye that tells it it looks like cyborg gone offscript these people have an inhuman gaze and are vehicles for something else
19,you see this also in the chiefs of the eu bureaucracy with tiny moleman eyes behind small glasses and the tiny lenses that reflect light
20,you see it in the dead robot eyes of the new hueman automatons running government departments the dmv the brutal zombies running the security in airports or hospital “health care” rooms under vicious yellow fluorescent lights
21,i wanted to expose the grim shadow of a movement that is hidden behind events of our time and from before
22,this is a great power that acts like a ghost
23,it hides in its own darkness and it has been absorbed by the lands and the peoples so that you can’t really see it anymore
24,there is just an eldritch quality embedded in things and on some faces
25,the same was said of hades
26,some said he would feel a great shame when some other god drew back the veil on the underworld so all the vile things that are there could be seen
27,is this hades of our time capable of shame
28,i heard also of such things being under the sea the disgusting and frightful things revealed when the sea recedes before a great storm
29,i will draw back the curtain on this iron prison and show you where it is you really live the secret things show in dreams
30,heraclitus say “all the things you see awake are death all the things you see asleep are sleep” he was trying to be coy
31,in his day many gods clovefooted satyr and other things showed themselves to men in dreams
32,spiritually your insides are all wet and there’s a huge hole through where monstrous powers are fucking your brain letting loose all your life and power of focus
33,you don’t see yourself as you really are but maybe some nightmare can show it to you
34,i am here to show you the way out
35,there was empedocles a philosopher man of high vision
36,he jumped into volcano aetna in sicily because he knew he would be reborn as a god
37,now imagine yourself in front of rim of aetna
38,it’s dry and sandy
