,0
0,the ethnostate wilmot robertson the ethnostate also by wilmot robertson the dispossessed majority ventilations the ethnostate an unblinkered prospectusor an advanced statecraft wilmot robertson how ard allen cape canaveral to the brave and indomitable enabler set roses here surround her only with such maidens as speak her tongue
1,edna st vincent millay the hardy garden contents foreword ix introduction 1 chapter 1 up the devolution
2,5 chapter 2 the mortality of culture 35 chapter 3 diversity contra pluralism 46 chapter 4 the morale factor 54 chapter 5 enlightened foreign policy 60 chapter 6 unitary politics 70 chapter 7 social progress 106 chapters maverick economics 121 chapter 9 educational benefits 146 chapter 10 on the evolutionary track 163 chapter 11 futurology 170 chapter 12 u nguessing history 184 chapter 13 less law more justice 194 chapter 14 the media muddle 200 chapter 15 the religious gene 204 chapter 16 in sum  222 appendix 226 bibliography 232 vii foreword in an earlier book the dispossessed majority the author was hopeful but not too hopeful that a sharp white backlash to minority racism and cultural degeneration might save what appeared to be the doomed united states
3,twenty years ago he still believed it possible that his moribund country could revive clean out its political and cultural augean stables and establish a pax americana that would herald a new age of peace plenty and progress
4,now that more than two decades have passed events are proving that america as we have known it is beyond saving
5,the majority that is the northern and western european elements of the population has lost whatever chance it had to recapture the country it ruled for more than two centuries
6,defeatist as lit may sound this does not mean it is too late to save the majority as a people
7,this could be effected by breaking up the united states into small independent regions established in the areas where most of americas various population groups are concentrated and gathered
8,the same process of fragmentation and regrouping might save the peoples of western europe who are also in a period of steep social and cultural decline though by no means to the same extent as the american majority
9,what is called for is a new form of goverment that would transform socially destructive into socially constructive forces
10,race now actively tearing countries apart might be helpful in putting them back together but this time in the form of autonomous relatively selfsufficient collectivities that the author has chosen to designate as ethnostates
11,since nothing else seems to be working since every new day brings with it ix x the ethnostate new demographic horrors a little rethinking of the funda­ mental themes and axioms of modem statecraft might be in order
12,although the author is an american he will not confine his remarks to what used to be his country but will aim many of them overseas
13,inescapably however his emphasis will be on the united states not only because of his birth and up­ bringing but also because what is happening in the western world in these parlous times is happening first in america
14,to employ spenglers term but without accepting his organic view of history the decline of the west is accel­ erating faster in the united states than elsewhere
15,consequent­ ly the suggestions advanced in this book for halting and reversing this decline should have the highest priority for euroamericans the most threatened of all white population groups south african whites excepted
16,europeans and their racial cousins in canada australia and new zealand have more time and may get out of their rut with less effort though the chances that their social order will survive the battering of minority racism and decadent liberalism in the long term are not significantly better
17,introduction we have all heard more than enough of world revolution in the 20th century
18,mass graves are filled with people who were executed with revolutionary and counterrevolutionary phrases ringing in their ears
19,it is now abundantly clear that instead of putting mankind on the right track to a successful social order the compass of revolution particularly revolutionary marxism has steered millions tens of millions and hundreds of millions onto the reefs of economic sterility political breakdown and social disease
20,it is indicative of the deep slough of mental confusion in which we are mired that darwinism the most plausible theory to explain the origin and development of life forms is still be­ lieved when believed at all as a sort of evil truth while marxism which in both theory and practice has proved to be irreparably flawed is despite the recent events in the soviet union still looked upon favorably by large segments of the worlds intelligentsia
21,if darwin is right or closest to being right is it not time to organize mankind according to his rules of organic develop­ ment and close our ears to the a priori fulminations of class warriors
22,by darwinism of course is not meant social dar­ winism a hobbesian scenario of people fighting tooth and claw for survival in a solipsistic frenzy of produce and con­ sume
23,to darwin survival of the fittest herbert spencers term meant simply that life forms which adapted most skill­ fully to their environments had the best chances of producing 1 2 the ethnostate an enduring line of progeny
24,neodarwinians take advantage of mendelian genetics to propose that the beneficial mutations which increase an organisms opportunities of survival will in some cases result in the creation of a new and occasionally higher species
25,since this process works most effectively in isolated groups it is only reasonable to suppose that it would operate more successfully for men and women living in small homogeneous states than in vast multiracial political imper­ iums where beneficial mutations especially if they occurred in recessive genes would be swamped before they could take hold in a large population mix
26,it is not too difficult to play tricks with hegelian dialectics
27,marx proposed that feudalism thesis passed into capitalism antithesis only to be resolved by communism synthesis
28,why not monoracial feudal fiefdoms thesis evolving into huge multiracial political agglomerations antithesis eventu­ ally to be resolved by ethnostates synthesis
29,wordplay aside the ethnostate can be defined as the political entity best suited to accelerate human evolution
30,the ultimate goal of most forms of socialism is one world one society one racea political end times that flies in the face of the biological process which produced man the great­ est of all biological marvels
31,the evolution of all living things has been generated by variety by genetic branching by the synergistic mechanics of speciation in which different phyla genera and races branch out in all directions some to extinc­ tion somemuch less frequentlyto a higher evolutionary grade
32,what is more drab than a continentsized garden con­ taining only one kind of flower
33,what would be more eye­ catching than a landscape dotted with innumerable small gar­ dens each with its own array of distinct blooms each tilled and fertilized in such a way as to bring out the fullest fragrance color and beauty of its floral riches
34,the everpresent urge to worldwide conformity would seem to augur a winding down of evolution
35,a faint death rattle can already be heard in the ecumenical squawks of western politi­ cians and liberal churchmen and in the earpiercing cacoph­ ony of most modem music both popular and serious
36,the ethnostate 3 if all civilization is not threatened at least certain civilized peoples are
37,the most threatened are the whites whose low birthrates can be mathematically represented by a curve con­ verging almost to zero
38,endangered species ethnic suicide and genocide are not unduly exaggerated terms for what is hap­ pening to the same race which only a few short centuries ago was dispatching its large population surplus to the ends of the earth
39,the antidote to the present crisis to the ever echoing sirenic call of one world is not counterrevolution
40,it is something even more extreme
41,it is devolution which is not a reversal of revolution
42,devolution proceeds from the big to the small from the roof to the foundation from erratic electrons to the stable nucleus
43,world revolution is an explosion
44,world devo­ lution is an implosion a contraction a recoiling from a unitary to a diversified world from topheavy ungainly empires and artificially contrived states to more manageable core states where society rests on the hard rock of genes and culture in­ stead of the quicksands of proletarian myths egalitarian fan­ tasies and retouched history
45,to put it in crass political terms devolution is the surrender or delegation of powers formerly held by a central government to regional or provincial author­ ities
46, the earth abounds with population groups whose distinct characteristics set them apart
47,some fit the description of races others are better described as subraces or ethnic groups
48,although it is the intellectual fashion these days to deny or downplay serious and significant human variations particu­ larly variations in intelligence and character population groups do possess a matrix of visible and invisible dif­ ferencesdifferent physical and mental traits different art styles as well as different gods
49, many words with the de and dis prefix will appear throughout this study decomposition degeneration deteriorate disintegrate dis­ establish displace
50,the one that will appear most oftendevolution­ is the word that is likely to be the most misunderstood
51,the principal dictionary definition of devolution is quite plain the transference as of rights powers or responsibility to another esp the surrender of powers to local authorities by a central government
52,4 the ethnostate the ethnostate is designed to accommodate and profit from group differences by giving mother nature her head and en­ listing darwinism in the service of political science
53,who can say that evolutionary theory is not as qualified as other non­ political theories to intrude into world politics
54,darwinism is not an ideology
55,it is a complex biological hypothesis about the chain of being
56,it is not a wild syllogistic leap to infer that the ground rules of organic evolution might have some application to the organic institutions known as states
57,if new biological species evolve more rapidly and suc­ cessfully in isolation so might species of politics
58,if different environments call forth and stimulate immense powers of adaptation in all living things why should not a mosaic of the worlds or at least the wests population groups maximize such powers
59,primitive ethnostates once existed wherever iso­ lated tribes existed
60,several city states of ancient greece might have qualified as model ethnostates were it not for the greek propensity for slavery
61,reviewing the western past the author suggests that perhaps the closest political entities to what he has in mind were some city states in medieval italy and germany
62,today when we have virtually removed nature from our daily life it might be wise and timely to let her work her won­ ders again this time with intelligent human cooperation
63,at this point no one neither man nor nature is in charge of the selective process that lifted us out of the soup of a primeval sea
64,in fact in many areas of the world evolution seems to be running backwards
65,devoting some serious thought to devo­ lution and the ethnostate concept might help to put it back on track
66,chapter 1 up the devolution
67,the earths peoples are being herded into an ideological pen by advocates of globalism at the very moment large un­ wieldy political agglomerations like the soviet union are disin­ tegrating into states and regions with older and more authentic pedigrees
68,this political restructuring of the ussr has a special appeal to population groups that were forced to shed or dilute their historical uniqueness when they were incorporated into a large multiracial multicultural nation or empire
69,the united states has not yet reached the level of decomposition of what was once the communist fatherland but its cultural and racial centrifuge spins faster every month
70,it is hardly surprising that the population group which com­ prises the majority of a country will not voluntarily give up its preferred status or see its power appreciably weakened
71,no group wishes to watch what it regards as its own country being chopped up especially in the case where one or more minor­ ities has acquired as much or more political and economic power than what germans call the staatsvolk
72,some members of what was once a majority may be globalists at heart but they cannot stomach any political developments that success­ fully diminish their own sovereignty or elevated status
73,what has been largely missing from the devolution move­ ment so far has been a carefully formulated line of action to give it logical substance
74,one way to get in the devolutionary mood is to do some philosophical housecleaning
75,despite 5 6 the ethnostate what thomas jefferson has drilled into our heads life liberty and the pursuit of happiness is not the beall and endall of the human condition
76,neither is that triplepronged french shibboleth liberte egalite jraternite nor the doltish marxist commandment from each according to his ability to each according to his needs
77,all these articles of faith were pro­ mulgated at times and places far removed from those which exist today
